"gene","dispersion"
"ENSG00000000003",0.0273348192853457
"ENSG00000000005",NA
"ENSG00000000419",0.0077857914244137
"ENSG00000000457",0.0110770575989017
"ENSG00000000460",0.0696393938394061
"ENSG00000000938",10
"ENSG00000000971",0.0642437187871711
"ENSG00000001036",0.0129538004000898
"ENSG00000001084",0.0498797188490469
"ENSG00000001167",0.0398820552624573
"ENSG00000001460",0.0206484144645876
"ENSG00000001461",0.0811556528391639
"ENSG00000001497",0.00735454011705071
"ENSG00000001561",0.709294051988033
"ENSG00000001617",0.0264478629760379
"ENSG00000001626",0.191602065791295
"ENSG00000001629",0.0160799856862426
"ENSG00000001630",0.0684129023201572
"ENSG00000001631",0.00990283103231009
"ENSG00000002016",0.019268894199481
"ENSG00000002079",1.24444651639835
"ENSG00000002330",0.0145418543216287
"ENSG00000002549",0.026115618870811
"ENSG00000002586",0.0142692451287727
"ENSG00000002587",4.81925013258301
"ENSG00000002726",10
"ENSG00000002745",0.746416269542384
"ENSG00000002746",0.0748297419733058
"ENSG00000002822",0.0142634681534462
"ENSG00000002834",0.00992711187440648
"ENSG00000002919",0.0166515565765536
"ENSG00000002933",1.94009263950241
"ENSG00000003056",0.00710907462034535
"ENSG00000003096",0.030559701331575
"ENSG00000003137",0.272508822949643
"ENSG00000003147",2.64236166007731
"ENSG00000003249",0.0913076536289344
"ENSG00000003393",0.0225909594711165
"ENSG00000003400",0.118839483034537
"ENSG00000003402",0.0252493135323774
"ENSG00000003436",0.035060465383107
"ENSG00000003509",0.0112876180066967
"ENSG00000003756",0.00742866035713737
"ENSG00000003987",0.0592587617571033
"ENSG00000003989",0.404841797241643
"ENSG00000004059",0.00958196619479031
"ENSG00000004139",0.0196222424009707
"ENSG00000004142",0.0142525269876039
"ENSG00000004399",0.0544603256478821
"ENSG00000004455",0.0262008995927327
"ENSG00000004468",1.01920386750469
"ENSG00000004478",0.0122078403222292
"ENSG00000004487",0.0057724267217743
"ENSG00000004534",0.017385470688096
"ENSG00000004660",0.109046130517957
"ENSG00000004700",0.0120803348026262
"ENSG00000004766",0.00725169996899948
"ENSG00000004776",0.0844620532232643
"ENSG00000004777",0.0695685118928411
"ENSG00000004779",0.0151225883467594
"ENSG00000004799",0.778283758241866
"ENSG00000004809",NA
"ENSG00000004838",0.118914101692387
"ENSG00000004846",0.382792071494739
"ENSG00000004848",NA
